id,document,abstract,date,type,authors,sectors,implementer,url
139665,Uganda - Agriculture Sector Public Expenditure Review,"The government of Uganda (GoU) regards agriculture as a key economic sector to support Uganda’s vision 2040 and the transition to middle-income status. It recognizes that public spending on agriculture has a pivotal role in equipping the sector to fulfil its potential to drive economic growth, create employment for a rapidly growing and predominantly young population, and ultimately reduce poverty. To improve the quality and effectiveness of public expenditures in agriculture, Uganda has conducted its second agriculture public expenditure review (AgPER) since 2010. Overall, the performance in implementing policy recommendations from the 2010 AgPER has been mixed. This summary presents the key messages emerging from the review and recommends policy and strategic actions for improving the efficiency and effectiveness of spending on agriculture in Uganda.",1-Sep-19,Working Paper,[],"['Public Finance Decentralization and\n            Poverty Reduction', 'Inequality', 'Public Financial Management', 'Food Security', 'Public Sector Economics', 'Crops and Crop Management Systems', 'Agricultural Extension', 'Agribusiness', 'Plastics & Rubber Industry', 'Pulp & Paper Industry', 'Textiles', 'Apparel & Leather Industry', 'Food & Beverage Industry', 'Common Carriers Industry', 'Climate Change and Agriculture', 'Business Cycles and Stabilization Policies']",Agriculture and Food PG AFR2 (SAFA2),http://documents.worldbank.org/curated/en/891951570544230412/pdf/Uganda-Agriculture-Sector-Public-Expenditure-Review.pdf
141712,Bangladesh - Second National Agriculture Technology Program Project : Farm to Table with Better Technology,"Bangladesh has done remarkably well in improving agricultural productivity. Around seventy percent people in Bangladesh live in rural areas and over forty-seven percent of the country’s total labour force are engaged in agriculture. Agriculture occupies around three-quarters of Bangladesh’s land and supports the livelihoods of the majority of rural people. Hence, achieving economic growth and reducing poverty require policies and investments conducive to lasting transformational changes in rural areas including technological innovation in agriculture. The second national agriculture technology program (NATP II) aims to support the government’s strategic priorities in agriculture by increasing agriculture productivity and improving farmers’ access to markets. Small-scale farmers will benefit from stronger linkages with research, on-farm demonstrations of improved technologies, training and skills development, agricultural extension services, and co-funding productive assets.",1-Jul-19,Brief,[],"['Crops and Crop Management Systems', 'Agricultural Extension', 'Climate Change and Agriculture', 'Nutrition', 'Agricultural Research', 'Food Security']",Agriculture and Food PG SAR1 (SSAA1),http://documents.worldbank.org/curated/en/876381568295284866/pdf/Bangladesh-Second-National-Agriculture-Technology-Program-Project-Farm-to-Table-with-Better-Technology.pdf
125802,The impact of strengthening agricultural extension services : evidence from Ethiopia,"Extension services have been implemented on a large scale in developing countries for decades. However, there is little evidence on their impact on the productivity and welfare of farmers. Our study aims to begin to fill this evidence gap with the goal of identifying and encouraging the uptake of best practices for the delivery of extension services by governments.Our findings suggest that strengthening extension services to make them more responsive to the needs of farmers can induce a switch to more commercial, market-oriented agriculture.Female-headed households seem to have benefited equally from the extension services project but it did not contribute to reducing the gender gap in agricultural outcomes as their initial levels of wealth and consumption, as well as labor and capital endowments were lower.Additional research is required to identify extension services designs that contribute to closing the gender gap, by addressing more specifically the challenges faced by women in areas such as labor and capital endowment.",1-Apr-18,Brief,"['Buehren', 'Niklas', 'Goldstein', 'Markus P.', 'Molina', 'Ezequiel', 'Vaillant', 'Julia']","['Inequality', 'Food Security', 'Gender and Development', 'Climate Change and Agriculture', 'Crops and Crop Management Systems', 'Agricultural Extension']",Global Themes Department- Gender (GTGDR),http://documents.worldbank.org/curated/en/788651524747997140/pdf/BRI-GILEthiopiaStrengtheningAgricultureBrief-PUBLIC.pdf
149790,Nepal – Modernization of Rani Jamara Kulariya Irrigation Scheme Impact Evaluation : Baseline Report,"This report presents the main findings of the baseline household survey for the impact evaluation of the Nepal Modernization of Rani Jamara Kulariya Irrigation Scheme Project (RJKIP). The baseline survey took place from December of 2016 to January of 2017. The baseline report provides descriptive statistics on the following topics: socioeconomic profile of the respondents, agricultural extension services, irrigation use, household income and expenditures, household food insecurity, farmer group networking and household experience of negative shocks.",28-Mar-18,Report,"['Christian', 'Paul J.', 'Garg', 'Teevrat', 'Batmunkh', 'Odbayar']","['Hydrology', 'Crops and Crop Management Systems', 'Agricultural Extension', 'Climate Change and Agriculture', 'Food Security', 'Nutrition']",,http://documents.worldbank.org/curated/en/778571592467269654/pdf/Nepal-Modernization-of-Rani-Jamara-Kulariya-Irrigation-Scheme-Impact-Evaluation-Baseline-Report.pdf
124214,"Key steps to improve agribusiness competitiveness part II : research and development, logistics, and marketing","Agriculture is central to emerging market economies. In Africa it accounts for as much as 65 percent of employment and 32 percent of output. Globally, two-thirds of the world’s poor - some 750 million people - work in rural areas. But as economies expand and production shifts to manufacturing and services, agriculture’s share of employment, and gross domestic product (GDP) decreases. At the same time, the broader agribusiness industry - business activities performed from farm to fork - is playing a more important role in growth and development. Improved land rights, better regulation of input and output markets, and better access to seeds and fertilizer are all critical to this transition. In part II, the emphasis is on a shift of research and development (R and D) spending from the public sector to private enterprises in middle-income countries focused on market opportunities related to advanced technologies and knowledge transfers. And a new emphasis on agricultural marketing, logistics, and market data is helping to integrate small farms into agricultural value chains, with higher prices for their products, greater productivity growth, and more sustainable overall development.",1-Jan-18,Brief,"['Walton', 'Tom', 'Grishin', 'Vadim Nikolaevich']","['Food Security', 'Food & Beverage Industry', 'Plastics & Rubber Industry', 'Agribusiness', 'Common Carriers Industry', 'Textiles', 'Apparel & Leather Industry', 'Pulp & Paper Industry', 'Business Cycles and Stabilization Policies', 'Transport Services', 'Agricultural Extension', 'Crops and Crop Management Systems', 'Climate Change and Agriculture', 'Information Technology']",Economics & Priv Sector Develop (CEDVP),http://documents.worldbank.org/curated/en/404071520919641918/pdf/124214-BRI-EMCompass-Note-50-R2-PUBLIC.pdf
124754,Punjab improves public services and performance through information technology,"Punjab is Pakistan’s largest province and accounts for 52 percent of the country’s economic output. But, like Pakistan as a whole, Punjab fell short of meeting most Millennium Development Goals. In 2010, after the country transferred functions and some funding to the provinces, Punjab increased spending on health, education, and agriculture—the economic sectors sustaining most livelihoods. Yet chronic problems affecting public services remain unsolved: staff absenteeism, low-quality facilities, and shortages of essentials such as medicines and books.",1-Jan-18,Brief,[],"['Health Care Services Industry', 'Educational Sciences', 'Information Technology', 'Climate Change and Agriculture', 'Crops and Crop Management Systems', 'Agricultural Extension', 'Immunizations', 'Reproductive Health', 'Disease Control & Prevention', ""Early Child and Children's Health"", 'Public Health Promotion']",GOV- PM SOKLR (GGOOS),http://documents.worldbank.org/curated/en/971701522334842493/pdf/124754-BRI-PUBLIC-PunjabImprovesPublicServices.pdf
WPS8169,The impact of strengthening agricultural extension services : evidence from Ethiopia,"This paper evaluates the effect of the Rural Capacity Building Project, which aimed at promoting growth by strengthening the agricultural service systems in Ethiopia and by making them more responsive to smallholders' needs. The project intended to increase the outreach of agricultural extension services to help farmers become aware of and adopt economically viable and environmentally sustainable technologies and practices. The paper examines the impact of the Rural Capacity Building Project using panel data on 1,485 geographically dispersed households in project and control kebeles. The results show that the strengthening of extension services had a positive impact on economic participation in the household, land area cultivated, and adoption of marketable crops, suggesting that access to extension helped farmers switch to more commercial, market-oriented agriculture. In addition, and contrary to previous evidence from other countries, female-headed households seem to have benefited equally from the project. However, the project was not able to reduce the preexisting gender gap in agricultural outcomes.",18-Aug-17,Policy Research Working Paper,"['Buehren', 'Niklas', 'Goldstein', 'Markus P.', 'Molina', 'Ezequiel', 'Vaillant', 'Julia']","['Climate Change and Agriculture', 'Agricultural Extension', 'Crops and Crop Management Systems', 'Gender and Development', 'Economics and Gender', 'Gender and Poverty', 'Food Security', 'Gender and Economic Policy', 'Gender and Economics']",,http://documents.worldbank.org/curated/en/874841503060841531/pdf/WPS8169.pdf
113737,Index insurance market profile : Kenya,"In Kenya, where more than 96 percent of agricultural land is rain-fed and vulnerable to drought and erratic rain, mitigating weather-related risks for smallholder farmers is an important tool for unlocking credit. Kilimo Salama (KS) insured farmers invested 19 percent more and earned 16 percent more than neighboring uninsured counterparts (2012 impact study). Ninety-nine percent of KS’s 185,000 insured farmers have loans linked to insurance coverage. In Kenya alone, over 30,000 KS farmers were able to access 5.5 million dollars in financing because they had insurance.",1-Jan-17,Brief,[],"['Climate Change and Agriculture', 'Agricultural Extension', 'Crops and Crop Management Systems', 'Livestock and Animal Husbandry', 'Food Security', 'Natural Disasters', 'Access to Finance']",Agri & Forestry - Global MAS (CMGAF),http://documents.worldbank.org/curated/en/438881490696041841/pdf/113737-BRI-KE-CountryProfiles-Kenya-PUBLIC.pdf
122935,An overview of agricultural pollution in Vietnam : the livestock sector,"In the past 10 years, Vietnam’s population has grown by around 1.03 percent per year, increasing from 83.1 million in 2005 to 93.4 million in 2015. Food demand has also increased rapidly as population and incomes have increased, and food consumption patterns have shifted.Intensification has been the sector’s response to this surge in demand, especially in pig and poultry production, and this pattern has given rise to environmental problems.The objective of the review was to provide a broad national overview on (a) pollution related to livestock development—its magnitude, impacts, and drivers; (b) measures that are currently in place to manage or mitigate waste pollution in different farming systems and the potential for addressing the problems when moving forward; and (c) existing knowledge gaps and directions for future research and interventions.The paper is organized into nine sections. Section one provides the introduction; section two provides an analytical framework; section three presents the findings and discussions, which includes livestock development and intensification of trends and production systems, and waste management practices; section four presents the physical impacts on environment; section five presents the socioeconomic impacts; section six presents the driving factors; section seven discusses interventions; section eight talks about the current knowledge and data gaps; and section nine includes conclusions and recommendations.",1-Jan-17,Working Paper,[],"['Legal Products', 'Regulatory Regimes', 'Social Policy', 'Legal Reform', 'Industrial Management', 'Judicial System Reform', 'Legislation', 'Agricultural Economics', 'Agricultural Extension', 'Crops and Crop Management Systems', 'Technology Industry', 'Technology Innovation', 'Water Resources', 'Hydrology', 'Global Environment', 'Environment', 'Water Supply and Sanitation', 'Brown Issues and Health', 'Pollution Management & Control', 'Urban Solid Waste Management', 'Food Security', 'Climate Change and Agriculture', 'Agriculture', 'Dairies and Dairying', 'Livestock and Animal Husbandry']",ENR GP EAP1 (GEN2A)-9531,http://documents.worldbank.org/curated/en/673191516790223983/pdf/122935-WP-PUBLIC-Vietnam-livestock-VNM.pdf
123197,Food price seasonality in Africa : measurement and extent,"Everyone knows about seasonality. But what exactly do we know? This study systematically measures seasonal price gaps at 193 markets for 13 food commodities in seven African countries. It shows that the commonly used dummy variable or moving average deviation methods to estimate the seasonalgap can yield substantial upward bias. This can be partially circumvented using trigonometric and sawtooth models, which are more parsimonious. Among staple crops, seasonality is highest for maize (33 percent on average) and lowest for rice (16½ percent). This is two and a half to three times larger than in the international reference markets. Seasonality varies substantially across market places but maize isthe only crop in which there are important systematic country effects. Malawi, where maize is the main staple, emerges as exhibiting the most acute seasonal differences. Reaching the Sustainable Development Goal of Zero Hunger requires renewed policy attention to seasonality in food prices and consumption.",1-Jan-17,Journal Article,"['Gilbert', 'Christopher L.', 'Christiaensen', 'Luc', 'Kaminski', 'Jonathan']","['Water and Food Supply', 'Food Security', 'Food Markets', 'Agricultural Extension', 'Agricultural Research', 'Agricultural Trade', 'Crops and Crop Management Systems']",AGRICULTURE GP AFR2 (GFA07),http://documents.worldbank.org/curated/en/339991518171216769/pdf/123197-JRN-PUBLIC-Food-price-seasonality-in-Africa.pdf
117148,On-track : a review of pilot implementations of a digital engagement mechanism (Vol. 3) : Annex 2 : evaluation methodology,"World Bank Institute (WBI) commissioned this review of the on-track pilot implementations to inform the current WB drive to include beneficiary feedback for all Bank projects for which there is an identifiable beneficiary. This main report and three annexes provide a detailed examination combined with tools for the future implementation of digital engagement mechanisms. The main report introduces the review and sets out findings, conclusions, lessons learned, and recommendations. A comprehensive elaboration of the findings is set out in annex 1. A detailed explanation of the evaluation method is set out in annex 2. Drawing from the lessons from the on-track experience, annex 3 provides a toolkit for introducing and implementing digital engagement mechanisms in WB-funded projects. The review is organized by four themes: quality and relevance of design, contribution to development results, process efficiency, and replicability. This report ascribes significant difficulties against each of these themes.",1-Jan-17,Working Paper,"['Agapitova', 'Natalia']","['Adaptation to Climate Change', 'Climate Change and Agriculture', 'Agricultural Extension', 'Crops and Crop Management Systems', 'Telecommunications Infrastructure', 'Educational Sciences', 'Gender and Development']",GOV PSI - ECA (GGO15),http://documents.worldbank.org/curated/en/416691499160933240/pdf/117148-WP-P162866-v2-PUBLIC-Annex-1-detailed-findings.pdf
123198,Agricultural commercialization and nutrition revisited : empirical evidence from three African countries,"The transition from subsistence to commercial agriculture is key for economic growth. But what are the consequences for nutritional outcomes? The evidence to date has been scant and inconclusive. This study contributes to the debate by revisiting two prevailing wisdoms: (a) market participation by African smallholders remains low; and (b) the impact of commercialization on nutritional outcomes is generally positive.Using nationally representative data from three African countries, the analysis reveals high levels of commercialization by even the poorest and smallest landholders, with rates of market participation as high as 90 percent. Female farmers participate less, but tend to sell larger shares of their production, conditionalon participation. Second, we find little evidence of a positive relationship between commercialization and nutritional status. As countries and international agencies prioritize the importance of nutrition-sensitive agriculture, better understanding of the transmission channels between crop choices and nutritional outcomes should remain a research priority.",1-Jan-17,Journal Article,"['Carletto', 'Calogero', 'Corral', 'Paul', 'Guelfi', 'Anita']","['Agricultural Economics', 'Agricultural Extension', 'Agricultural Research', 'Agricultural Trade', 'Crops and Crop Management Systems', 'Food Markets', 'Food Security']","Agriculture and Food PG AFR2 (SAEA2),Data Production and Methods (DECPM)",http://documents.worldbank.org/curated/en/837261518172216748/pdf/123198-JRN-PUBLIC-Agricultural-commercialization-and-nutrition-revisited.pdf
118138,Seeing is believing : evidence from an extension network experiment,"Extension is designed to enable lab-to-farm technology diffusion. Decentralized models assume that information flows from researchers to extension workers, and from extension agents to contact farmers (CFs). CFs should then train other farmers in their communities. Such a modality may fail to address informational inefficiencies and accountability issues. The authors run a field experiment to measure the impact of augmenting the CF model with a direct CF training on the diffusion of a new technology. All villages have CFs and access the same extension network. In treatment villages, CFs additionally receive a three-day, central training on the new technology. The authors track information transmission through two nodes of the extension network: from extension agents to CFs, and from CFs to other farmers. Directly training CFs leads to a large, statistically significant increase in adoption among CFs. However, higher levels of CF adoption have limited impact on the behavior of other farmers.",1-Jan-17,Journal Article,"['Kondylis', 'Florence', 'Mueller', 'Valerie', 'Zhu', 'Jessica']","['Climate Change and Agriculture', 'Agricultural Extension', 'Crops and Crop Management Systems', 'Hydrology', 'Food Security', 'Natural Disasters']","Development Impact Evaluation (DECIE),Development Impact Evaluation (DIME0)",http://documents.worldbank.org/curated/en/344741502354796090/pdf/118138-JRN-PUBLIC-Seeing-is-Believing.pdf
WPS7768,Feedback matters : evidence from agricultural services,"Feedback tools have become ubiquitous in the service industry and social development programs alike. This study designed a field experiment to test whether eliciting feedback can empower users and increase demand for a service. The study randomly assigned different feedback tools in the context of an agricultural service to document their impact on clients' demand and shed light on the underlying mechanisms. The analysis shows large demand effects, in the current and following growing periods. It also documents large demand effect spillovers, as other non-client farmers in the vicinity of treated groups are more likely to sign up for the service. To disentangle pure supply-side monitoring from demand-side accountability effects, additional monitoring was randomly announced to extension workers across treatment and control communities. Extension workers do not exert significantly more effort in villages where additional monitoring takes place. The study concludes that farmers’ taste for ""respect"" leads their higher demand for the service.",26-Jul-16,Policy Research Working Paper,"['Jones', 'Maria Ruth', 'Kondylis', 'Florence']","['Climate Change and Agriculture', 'Health Care Services Industry', 'Agricultural Extension', 'Crops and Crop Management Systems', 'Gender and Development', 'Food Security', 'Inequality']","Off of Sr VP Dev Econ/Chief Econ (DECVP),Development Impact Evaluation (DIME0),DIME Governance & Inst Building (DIME3)",http://documents.worldbank.org/curated/en/373411469542814703/pdf/WPS7768.pdf
WPS7669,Will digital technologies transform agriculture in developing countries,"Mobile phones and the internet have significantly affected practically all sectors of the economy, and agriculture is no exception. Building on a recent World Bank flagship report, this paper introduces a concise framework for describing the main benefits from new information and communications technologies. They promote greater inclusion in the broader economy, raise efficiency by complementing other production factors, and foster innovation by dramatically reducing transaction costs. The paper reviews the recent literature on corresponding technology impacts in the rural sector in developing countries. Digital technologies overcome information problems that hinder market access for many small-scale farmers, increase knowledge through new ways of providing extension services, and they provide novel ways for improving agricultural supply chain management. Although there are many promising examples of positive impacts on rural livelihoods--or ""digital dividends""--often these have not scaled up to the extent expected. The main reason is that technology can only address some, but not all, of the barriers faced by farmers in the poorer countries.",11-May-16,Policy Research Working Paper,"['Deichmann', 'Uwe Klaus', 'Goyal', 'Aparajita', 'Mishra', 'Deepak K.']","['Climate Change and Agriculture', 'Agricultural Extension', 'Crops and Crop Management Systems', 'Telecommunications Infrastructure', 'Food Security', 'Transport Services']",Off of Sr VP Dev Econ/Chief Econ (DECVP),http://documents.worldbank.org/curated/en/481581468194054206/pdf/WPS7669.pdf
94887,Improved nutrition through agricultural extension and advisory services : case studies of curriculum review and operational lessons from India,"Even after several decades of green revolution, malnutrition continues to be a major development challenge in much of South Asia, and India has a major share of the malnourished people in the region. For nutrition goals to be integrated into extension the curricula provided to current and future agricultural extension agents must be revisited. As part of the South Asia Food and Nutrition Security Initiative (SAFANSI), this paper focuses on approaches to incorporating such nutrition content into the agricultural extension curriculum. Three state agricultural universities in Tamil Nadu, united Andhra Pradesh, and Bihar were used as case studies for the curriculum review. Through these case studies, face-to-face consultations at the national level down to program implementation at the village level have been developed. These include consultative workshops, and a conceptual framework and strategy for incorporating nutrition into extension curriculum development to improve nutrition outcomes. This strategy, detailed in this report, includes opportunities for collaboration from the national level to the community level. Specific lessons and follow-up actions are outlined that may be useful for other South Asian countries. The paper is organized as follows: chapter one gives introduction. Chapter two reviews current literature on agriculture-nutrition linkages to develop a conceptual framework for integrating nutrition into agricultural extension programs. Research methods and approaches are given in chapter three. Results and discussions are given in chapter four. Lessons from the case studies are presented in chapter five, and chapter six consists of concluding remarks.",1-Feb-16,Working Paper,"['Babu', 'Suresh Chandra', 'Singh', 'Meera', 'Hymavathi', 'T. V.', 'Rani', 'Uma', 'Kavitha', 'G. G.', 'Karthik', 'Shree']","['Climate Change and Agriculture', 'Health Care Services Industry', 'Agricultural Extension', 'Crops and Crop Management Systems', 'Nutrition', 'Educational Sciences', 'Food Security']",AGRICULTURE GP GE (GFAGE),http://documents.worldbank.org/curated/en/271581468186881998/pdf/94887-P145591-PUBLIC-TAP-Improved-Nutrition-Curr-India-Web-AR-07-01-15.pdf
