id,use_case,project,description,implementer,region,country,documents,sectors,years,contacts
P180242,Capitalizing the PCGF,Strengthening the Partial Credit Guarantee (PCG) Fund for small farmers in Ukraine (Strengthening the PCGF in Agriculture Project),"This use case example illustrates the efforts to financial support small farmers in Ukraine through the capitalization of the PCGF (Partial Credit Guarantee Fund). In the context of land reforms and the challenges imposed by war, the PCGF was established to provide partial credit guarantees to small farmers, enabling them to access financing. The project comprised a central component focused on injecting EUR 10 million into PCGF, aiming at fortifying its capacity to support credit-constrained farmers, hence enhancing long-term agricultural development and food security. The fund was planned to be disbursed in two tranches: the first, EUR 6 million, ensuring the PCGF reaches its legally foreseen capital, and the second, EUR 4 million, to be released once the PCGF is fully operational with an acceptable institutional framework. This financial model was developed as part of a broader effort not only to support Ukraine's agricultural sector amid ongoing conflict but also to bolster the framework for sustainable rural development by leveraging private capital.","Ministry of Agrarian Policy and Food, Partial Credit Guarantee Fund",Europe and Central Asia,Ukraine,"[""'Project Information Document': 'http://documents.worldbank.org/curated/en/099100003012383963/pdf/P1802420da5d270d092570e6cf7dc490b4.pdf'"", ""'Environmental and Social Review Summary': 'http://documents.worldbank.org/curated/en/099172502242332375/pdf/P18024203ffe8e07c0b6cc0b121cc1a4c4f.pdf'"", ""'Environmental and Social Commitment Plan': 'http://documents.worldbank.org/curated/en/099172502242384703/pdf/P1802420b42d660e097bb0f27dd443d290.pdf'"", ""'Stakeholder Engagement Plan': 'http://documents.worldbank.org/curated/en/099172502242337714/pdf/P180242069cec70c0acd4074bb0fd9d176.pdf'"", ""'Project Appraisal Document': 'http://documents.worldbank.org/curated/en/099072823120523998/pdf/P1802420abbe920208a6a013f26a54c236.pdf'"", ""'Implementation Status and Results Report': 'http://documents.worldbank.org/curated/en/099110623080518362/pdf/P18024204c55a00840bf8a02fd6d543bf4a.pdf'""]","['Other Agriculture, Fishing and Forestry']","['2023', '2024', '2025', '2026']","['Johanna Jaeger', 'Yevhen Hrebeniuk']"
P181088,Enhancing Agricultural Extension,"Additional Financing to the Food System Resilience Program, Phase 2 Sierra Leone","This use case example details the enhancement of agricultural extension services through technological innovations and digital platforms. In the context of the Food System Resilience Program in Sierra Leone, the project aimed to improve productivity and resilience among farmers by modernizing the delivery of advisory and extension services. The approach involved a comprehensive review and strengthening of the existing agricultural extension system, incorporating digital solutions and private sector engagement to extend reach and efficiency. Key activities included the deployment of digital platforms for service delivery, training and equipping extension staff with digital tools, and fostering private sector involvement in the newly launched electronic extension system. This multifaceted strategy aimed to bolster the capacity of the Ministry of Agriculture and Food Security, ensuring scalable and sustainable impact on the nation's food system by reaching farmers more effectively with vital information and resources.","Ministry of Agriculture and Forestry - Sierra Leone, Ministry of Agricultural Development - Chad, Ministry of Food and Agriculture - Ghana",Western and Central Africa,Western and Central Africa,"[""'Environmental and Social Review Summary': 'http://documents.worldbank.org/curated/en/099063023151542836/pdf/P181088144ef06dc18ab4141921971f14bd503af490b.pdf'"", ""'Environmental and Social Commitment Plan': 'http://documents.worldbank.org/curated/en/099063023151554181/pdf/P181088004ec53040892c03db9af2e42e6.pdf'"", ""'Stakeholder Engagement Plan': 'http://documents.worldbank.org/curated/en/099063023151512151/pdf/P1810880d6d6640b094c80e6e98c254848.pdf'"", ""'Project Information Document': 'http://documents.worldbank.org/curated/en/099062923230033040/pdf/P1810880f858c90c0b60509920e3f81b8f.pdf'""]","['Public Administration - Agriculture, Fishing & Forestry', 'Agricultural Extension, Research, and Other Support Activities']",['2023'],"['Katie Kennedy Freeman', 'Adetunji A. Oredipe', 'Kadir Osman Gyasi']"
P181088,Integrated Landscape Management,"Additional Financing to the Food System Resilience Program, Phase 2 Sierra Leone","This use case example focuses on Strengthening Regional Food Security through Integrated Landscape Management (ILM) as a part of Sierra Leone's Food System Resilience Program. In the context of addressing food insecurity and enhancing resilience to climate variability, the project scaled up interventions promoting climate-smart and nutrition-sensitive agricultural practices. The strategy encompassed developing ILM technologies for communal lands to bolster the natural resource base sustainably, alongside promoting nutrition-sensitive practices among vulnerable groups. Activities included training for the establishment of homestead and community vegetable gardens, support for women's groups in establishing horticulture value chains, and capacity building within relevant institutions. This comprehensive approach aimed at not only expanding the supply of nutritious food but also increasing dietary diversity and improving overall food security in the region.","Ministry of Agriculture and Forestry - Sierra Leone, Ministry of Agricultural Development - Chad, Ministry of Food and Agriculture - Ghana",Western and Central Africa,Western and Central Africa,"[""'Environmental and Social Review Summary': 'http://documents.worldbank.org/curated/en/099063023151542836/pdf/P181088144ef06dc18ab4141921971f14bd503af490b.pdf'"", ""'Environmental and Social Commitment Plan': 'http://documents.worldbank.org/curated/en/099063023151554181/pdf/P181088004ec53040892c03db9af2e42e6.pdf'"", ""'Stakeholder Engagement Plan': 'http://documents.worldbank.org/curated/en/099063023151512151/pdf/P1810880d6d6640b094c80e6e98c254848.pdf'"", ""'Project Information Document': 'http://documents.worldbank.org/curated/en/099062923230033040/pdf/P1810880f858c90c0b60509920e3f81b8f.pdf'""]","['Public Administration - Agriculture, Fishing & Forestry', 'Agricultural Extension, Research, and Other Support Activities']",['2023'],"['Katie Kennedy Freeman', 'Adetunji A. Oredipe', 'Kadir Osman Gyasi']"
P180680,COVID-19 Prevention and Response,Chad Health Emergency Preparedness and Response Additional Financing,"This use case example focuses on the effective prevention, detection, and response to COVID-19, enhancing Chad's healthcare system's preparedness. In the context of Chad's healthcare challenges and the global pandemic's impact, the project team implemented a multi-faceted approach towards health emergency preparedness and response. The project comprised several components aiming at not only immediate COVID-19 response but also building a robust system for future potential health emergencies. The first component prioritized enhancing Chad's capabilities to prevent, detect, and efficiently respond to COVID-19 outbreaks. This involved implementing emergency preparedness measures, improving healthcare facilities, and ensuring the availability of medical supplies and equipment necessary for dealing with COVID-19 cases. Recognizing the importance of community involvement in combating the pandemic, the second component emphasized community engagement and the promotion of social and behavioral changes. This part of the project focused on educating the community about COVID-19 prevention measures, encouraging adherence to health guidelines, and combating misinformation related to the virus. Lastly, the third component centered on bolstering implementation management, monitoring, evaluation, and coordination efforts to ensure the project's effectiveness and sustainability. Through strengthened management and evaluation mechanisms, the project aimed to provide a coherent response to COVID-19 while laying the groundwork for handling future health crises.",Ministère de la Santé Publique,Western and Central Africa,Chad,"[""'Environmental and Social Review Summary': 'http://documents.worldbank.org/curated/en/099062823133554584/pdf/P1806800660946007092550b64a5880ec34.pdf'"", ""'Environmental and Social Commitment Plan': 'http://documents.worldbank.org/curated/en/099062823133517930/pdf/P18068008bff410e0b4a7056acf940cb8a.pdf'"", ""'Stakeholder Engagement Plan': 'http://documents.worldbank.org/curated/en/099062823133510153/pdf/P1806800132794000a3e2044d9bc1d7ccc.pdf'"", ""'Project Information Document': 'http://documents.worldbank.org/curated/en/099062823141077403/pdf/P18068006544c0040b78d0374e3875b1d4.pdf'"", ""'Project Paper': 'http://documents.worldbank.org/curated/en/099072123133578111/pdf/BOSIB04bd0b9ee01a0ae190775554867d99.pdf'""]",['Livestock'],['2023'],['Kofi Amponsah']
P180680,Community Engagement and Behavior Change,Chad Health Emergency Preparedness and Response Additional Financing,"This use case example demonstrates a comprehensive method for engaging communities and promoting behavioral changes essential for controlling the spread of COVID-19 in Chad. In the context of significant challenges posed by the pandemic, coupled with pre-existing gaps in the healthcare system, it was imperative to involve communities directly in the response efforts. The project team initiated a series of targeted interventions focusing on enhancing community engagement and fostering social and behavioral changes conducive to public health safety. Recognizing the power of informed communities in disease prevention and control, a key strategy involved developing and disseminating clear, accurate, and culturally sensitive information about COVID-19 prevention and care. This was complemented by building capacities related to risk communication through training programs for healthcare professionals and community leaders. The project facilitated the creation and support of community platforms dedicated to health awareness-raising activities, including but not limited to COVID-19. It also emphasized the need for accurate information dissemination to counteract misinformation and health-related rumors. Through these concerted efforts, the project aimed to cultivate a well-informed public, capable of making health-conscious decisions, thereby contributing to the broader goal of mitigating the pandemic's impact.",Ministère de la Santé Publique,Western and Central Africa,Chad,"[""'Environmental and Social Review Summary': 'http://documents.worldbank.org/curated/en/099062823133554584/pdf/P1806800660946007092550b64a5880ec34.pdf'"", ""'Environmental and Social Commitment Plan': 'http://documents.worldbank.org/curated/en/099062823133517930/pdf/P18068008bff410e0b4a7056acf940cb8a.pdf'"", ""'Stakeholder Engagement Plan': 'http://documents.worldbank.org/curated/en/099062823133510153/pdf/P1806800132794000a3e2044d9bc1d7ccc.pdf'"", ""'Project Information Document': 'http://documents.worldbank.org/curated/en/099062823141077403/pdf/P18068006544c0040b78d0374e3875b1d4.pdf'"", ""'Project Paper': 'http://documents.worldbank.org/curated/en/099072123133578111/pdf/BOSIB04bd0b9ee01a0ae190775554867d99.pdf'""]",['Livestock'],['2023'],['Kofi Amponsah']
P180680,Implementation Management and Coordination,Chad Health Emergency Preparedness and Response Additional Financing,"This use case example highlights a strategic approach to enhancing implementation management, monitoring, evaluation, and coordination for Chad's Health Emergency Preparedness and Response initiative. In the context of Chad's pressing need to fortify its public health infrastructure against COVID-19, amidst existing systemic vulnerabilities, this component of the project was critical. The project team focused on establishing robust mechanisms for project management that ensured coherent, efficient, and transparent implementation of all activities across the components. This entailed the creation of a coordinated framework that fostered collaboration among various stakeholders, including government entities, healthcare providers, and international partners. The strategy also included the development and deployment of monitoring and evaluation tools to assess progress towards set objectives continuously. These tools enabled timely identification of challenges and adjustment of tactics as needed. Furthermore, the component emphasized the importance of continuous learning and adaptation, incorporating lessons learned into ongoing and future health preparedness efforts. By bolstering implementation management and coordination, the project aimed to ensure that efforts to prevent, detect, and respond to COVID-19 were carried out effectively, ultimately contributing to the strengthening of Chad's overall health emergency preparedness capacities.",Ministère de la Santé Publique,Western and Central Africa,Chad,"[""'Environmental and Social Review Summary': 'http://documents.worldbank.org/curated/en/099062823133554584/pdf/P1806800660946007092550b64a5880ec34.pdf'"", ""'Environmental and Social Commitment Plan': 'http://documents.worldbank.org/curated/en/099062823133517930/pdf/P18068008bff410e0b4a7056acf940cb8a.pdf'"", ""'Stakeholder Engagement Plan': 'http://documents.worldbank.org/curated/en/099062823133510153/pdf/P1806800132794000a3e2044d9bc1d7ccc.pdf'"", ""'Project Information Document': 'http://documents.worldbank.org/curated/en/099062823141077403/pdf/P18068006544c0040b78d0374e3875b1d4.pdf'"", ""'Project Paper': 'http://documents.worldbank.org/curated/en/099072123133578111/pdf/BOSIB04bd0b9ee01a0ae190775554867d99.pdf'""]",['Livestock'],['2023'],['Kofi Amponsah']
P180379,Value Chain Analysis Implementation,Philippine Rural Development Project Scale-up,"This use case example describes how the Philippine Rural Development Project (PRDP) successfully strengthened value chain analyses (VCA) and institutionalized their use by Local Government Units (LGUs) across the Philippines. In the context of improving agricultural and fishery enterprises nationwide, the PRDP leveraged VCAs in conjunction with edaphic and climate-based suitability criteria for the Department of Agriculture's LGU planning and investment. This initiative has significantly catalyzed the start-up and expansion of many micro, small, and medium-scale agri-fishery enterprises. Through the use of Provincial Commodity Investment Plans (PCIPs), the project created a planning platform for joint investments between the Department of Agriculture and LGUs, mainstreaming and leveraging support from other government agencies. Despite the achievements, there remains a need for further investments in Farm-to-Market Roads (FMRs) and other rural infrastructure to enhance production areas' connectivity with markets. The project's approach focuses on scaling up through fewer but larger outcome-based programs, emphasizing public good investments such as research and development infrastructure markets, and biosecurity.",Department of Agriculture,East Asia and Pacific,Philippines,"[""'Project Appraisal Document': 'http://documents.worldbank.org/curated/en/099060923140041318/pdf/BOSIB0eed3aef603e092da09cecefd8354c.pdf'"", ""'Disbursement Letter': 'http://documents.worldbank.org/curated/en/099070723092090135/pdf/P18037906d8ac4004086e106e5d597ee063.pdf'"", ""'Loan Agreement': 'http://documents.worldbank.org/curated/en/099070723092082823/pdf/P18037909847640a00ad1d0ed14e87ab78b.pdf'"", ""'Procurement Plan': 'http://documents.worldbank.org/curated/en/099011024000518102/pdf/P18037913408d40dd1a356191d58949fe2a.pdf'"", ""'Implementation Status and Results Report': 'http://documents.worldbank.org/curated/en/099121223093023512/pdf/P18037905c48300c50b2ec0a210feaad56e.pdf'""]","['Agricultural markets, commercialization and agri-business', 'Public Administration - Industry, Trade and Services', 'Public Administration - Agriculture, Fishing & Forestry', 'Other Agriculture, Fishing and Forestry']","['2023', '2024', '2025', '2026', '2027', '2028', '2029']","['Mio Takada', 'Maria Theresa G. Quinones']"
P180379,Enhancing Production and Market Connectivity,Philippine Rural Development Project Scale-up,"This use case example demonstrates the Philippine Rural Development Project's (PRDP) efforts in enhancing the connectivity of production areas with market centers. Throughout the project's implementation, the PRDP has constructed 324 climate-proof farm-to-market roads (FMRs) totaling 2380 kilometers, alongside 45 bridges and several postharvest facilities meeting climate-proof standards. These infrastructures are pivotal in improving the accessibility of production hubs to markets, thereby fostering economic development in rural areas. The Department of Agriculture (DA) has become the key agency responsible for providing these FMRs and bridges, with effective processes mainstreamed for ensuring their operation and maintenance by Local Government Units (LGUs). These achievements have significantly influenced the design and priorities of the PRDP Scale-Up, aligning with higher-level objectives such as developing a competitive, sustainable, and technology-based agricultural sector. The focus on infrastructure development is also expected to contribute to greater national food security, job creation, increased farmer incomes, and resilience to climate change, among other key actions highlighted in governmental strategic agendas.",Department of Agriculture,East Asia and Pacific,Philippines,"[""'Project Appraisal Document': 'http://documents.worldbank.org/curated/en/099060923140041318/pdf/BOSIB0eed3aef603e092da09cecefd8354c.pdf'"", ""'Disbursement Letter': 'http://documents.worldbank.org/curated/en/099070723092090135/pdf/P18037906d8ac4004086e106e5d597ee063.pdf'"", ""'Loan Agreement': 'http://documents.worldbank.org/curated/en/099070723092082823/pdf/P18037909847640a00ad1d0ed14e87ab78b.pdf'"", ""'Procurement Plan': 'http://documents.worldbank.org/curated/en/099011024000518102/pdf/P18037913408d40dd1a356191d58949fe2a.pdf'"", ""'Implementation Status and Results Report': 'http://documents.worldbank.org/curated/en/099121223093023512/pdf/P18037905c48300c50b2ec0a210feaad56e.pdf'""]","['Agricultural markets, commercialization and agri-business', 'Public Administration - Industry, Trade and Services', 'Public Administration - Agriculture, Fishing & Forestry', 'Other Agriculture, Fishing and Forestry']","['2023', '2024', '2025', '2026', '2027', '2028', '2029']","['Mio Takada', 'Maria Theresa G. Quinones']"
P180334,Improving Rural Community Infrastructure,Lebanon: Green Agri-food transformation for economic recovery (GATE),"This use case example demonstrates the approach to enhancing agri-food development by improving rural community infrastructure. In the context of developing countries, one critical aspect of stimulating agricultural productivity and economic growth is the development and modernization of rural infrastructure. The project focused on investments in small community-/farmer-led irrigation developments, rehabilitation of rural feeder roads, local agricultural markets, and optimizing existing wastewater treatment systems for agricultural reuse. By implementing these measures in coordination with the Green Plan, unions of municipalities, and the Ministry of Agriculture, the project aimed to support agricultural activities effectively. Operation and maintenance of these infrastructures were ensured through collaborative efforts with local governing bodies, highlighting the importance of local ownership and participatory processes in project success. The initiative stood out for its dedication to regionally balanced fund allocations, evaluated through a participatory process against established criteria focusing on poverty impact, level of agricultural activity, climate co-benefits, and sustainable operation commitments.",Council for Development and Reconstruction,Middle East and North Africa,Lebanon,"[""'Environmental and Social Review Summary': 'http://documents.worldbank.org/curated/en/099050223181526870/pdf/P1803340a4950705e0ac9a002fef8e2c14c.pdf'"", ""'Environmental and Social Commitment Plan': 'http://documents.worldbank.org/curated/en/099060123140015298/pdf/P1803340cb4de5070a8600f5c4e2e6d4f6.pdf'"", ""'Project Information Document': 'http://documents.worldbank.org/curated/en/099062323172035771/pdf/P18033407dcbb0020b31a09d00ed0953c9.pdf'"", ""'Project Appraisal Document': 'http://documents.worldbank.org/curated/en/099060523172580537/pdf/BOSIB04017334d0fd08f380a2d36bab1e89.pdf'"", ""'Minutes': 'http://documents.worldbank.org/curated/en/099080323103035349/pdf/BOSIB09dd688c90e20bca90d8559b5db98a.pdf'"", ""'Implementation Status and Results Report': 'http://documents.worldbank.org/curated/en/099122223111538670/pdf/P180334173179705b1a70f15543793187be.pdf'""]","['Other Agriculture, Fishing and Forestry', 'Public Administration - Agriculture, Fishing & Forestry', 'Agricultural Extension, Research, and Other Support Activities', 'Agricultural markets, commercialization and agri-business']","['2023', '2024', '2025', '2026', '2027', '2028']","['Salim Rouhana', 'Armine Juergenliemk', 'Zeina El Khoury']"
P180334,Restoring Access to Agency-managed Services,Lebanon: Green Agri-food transformation for economic recovery (GATE),"This use case example illustrates the effort to restore access to critical agency-managed services and infrastructure crucial for the resilience and competitiveness of agri-food systems. Given the vital role that infrastructure such as irrigation systems, wastewater management, solid waste management, and farmer markets play in the agri-food sector, a strategic approach centered on rehabilitating these assets was adopted. This strategy focused on ensuring basic system functionality while avoiding superfluous complexity in interventions to maximize resource use and minimize implementation risks. To achieve these aims, a framework was established to assess, validate, and prioritize investments based on their contribution to rural areas, alignment with national sectoral strategies, and support from local communities. This method underscores the significance of integrating technical, economic, social, and environmental considerations in revitalizing essential services, emphasizing resilient design and sustainable operation and maintenance plans. Ultimately, this approach fostered inclusivity and stakeholder engagement in revitalizing infrastructure critical for agricultural development.",Council for Development and Reconstruction,Middle East and North Africa,Lebanon,"[""'Environmental and Social Review Summary': 'http://documents.worldbank.org/curated/en/099050223181526870/pdf/P1803340a4950705e0ac9a002fef8e2c14c.pdf'"", ""'Environmental and Social Commitment Plan': 'http://documents.worldbank.org/curated/en/099060123140015298/pdf/P1803340cb4de5070a8600f5c4e2e6d4f6.pdf'"", ""'Project Information Document': 'http://documents.worldbank.org/curated/en/099062323172035771/pdf/P18033407dcbb0020b31a09d00ed0953c9.pdf'"", ""'Project Appraisal Document': 'http://documents.worldbank.org/curated/en/099060523172580537/pdf/BOSIB04017334d0fd08f380a2d36bab1e89.pdf'"", ""'Minutes': 'http://documents.worldbank.org/curated/en/099080323103035349/pdf/BOSIB09dd688c90e20bca90d8559b5db98a.pdf'"", ""'Implementation Status and Results Report': 'http://documents.worldbank.org/curated/en/099122223111538670/pdf/P180334173179705b1a70f15543793187be.pdf'""]","['Other Agriculture, Fishing and Forestry', 'Public Administration - Agriculture, Fishing & Forestry', 'Agricultural Extension, Research, and Other Support Activities', 'Agricultural markets, commercialization and agri-business']","['2023', '2024', '2025', '2026', '2027', '2028']","['Salim Rouhana', 'Armine Juergenliemk', 'Zeina El Khoury']"
P180334,Enhancing Climate-Smart Agriculture Practices,Lebanon: Green Agri-food transformation for economic recovery (GATE),"This use case example details the advancement of climate-smart agriculture practices through an improved knowledge base and the incorporation of digital innovations. With agricultural sustainability and productivity heavily dependent on accessing credible and timely information, this component aimed to empower farmers, policymakers, and agribusinesses with the necessary tools for informed decision-making. Investments included diagnostics, productivity maps, digitalization of agricultural services, and capacity-building in remote sensing. A key aspect was offering training on climate-smart practices to thousands of smallholders, demonstrating a large-scale effort to adapt farming practices to the reality of climate change. This initiative not only improved the resourcefulness and resilience of the farming sector but also established a robust framework for the collection and utilization of agronomic data. It reflects the increasing recognition of the digital revolution’s role in transforming agriculture into a more sustainable and productive industry, highlighting the potential for technology to facilitate significant improvements in agricultural practices.",Council for Development and Reconstruction,Middle East and North Africa,Lebanon,"[""'Environmental and Social Review Summary': 'http://documents.worldbank.org/curated/en/099050223181526870/pdf/P1803340a4950705e0ac9a002fef8e2c14c.pdf'"", ""'Environmental and Social Commitment Plan': 'http://documents.worldbank.org/curated/en/099060123140015298/pdf/P1803340cb4de5070a8600f5c4e2e6d4f6.pdf'"", ""'Project Information Document': 'http://documents.worldbank.org/curated/en/099062323172035771/pdf/P18033407dcbb0020b31a09d00ed0953c9.pdf'"", ""'Project Appraisal Document': 'http://documents.worldbank.org/curated/en/099060523172580537/pdf/BOSIB04017334d0fd08f380a2d36bab1e89.pdf'"", ""'Minutes': 'http://documents.worldbank.org/curated/en/099080323103035349/pdf/BOSIB09dd688c90e20bca90d8559b5db98a.pdf'"", ""'Implementation Status and Results Report': 'http://documents.worldbank.org/curated/en/099122223111538670/pdf/P180334173179705b1a70f15543793187be.pdf'""]","['Other Agriculture, Fishing and Forestry', 'Public Administration - Agriculture, Fishing & Forestry', 'Agricultural Extension, Research, and Other Support Activities', 'Agricultural markets, commercialization and agri-business']","['2023', '2024', '2025', '2026', '2027', '2028']","['Salim Rouhana', 'Armine Juergenliemk', 'Zeina El Khoury']"
P180334,Strengthening Food Safety for Export Growth,Lebanon: Green Agri-food transformation for economic recovery (GATE),"This use case example explores how enhancing food safety standards and practices can open up export opportunities and improve public health outcomes. The project aimed to align national food safety requirements with international standards, implement management systems like HACCP, and strengthen the operational capacities of sector institutions. Key activities included harmonizing regulations, digitizing agri-food related licenses, and improving laboratory testing capacities. Additionally, the program supported campaigns for livestock vaccination and pests and disease surveillance, addressing the dual challenges of food safety and climate change-induced risks. This multi-faceted approach not only aimed to increase the safety and quality of food products but also sought to enhance Lebanon’s competitiveness in global markets. By fostering a more standardized and transparent food safety system, the project contributed to better health outcomes for consumers and growth opportunities for producers, showcasing the potential of strategic interventions in bolstering the agri-food sector's international standing and local public health.",Council for Development and Reconstruction,Middle East and North Africa,Lebanon,"[""'Environmental and Social Review Summary': 'http://documents.worldbank.org/curated/en/099050223181526870/pdf/P1803340a4950705e0ac9a002fef8e2c14c.pdf'"", ""'Environmental and Social Commitment Plan': 'http://documents.worldbank.org/curated/en/099060123140015298/pdf/P1803340cb4de5070a8600f5c4e2e6d4f6.pdf'"", ""'Project Information Document': 'http://documents.worldbank.org/curated/en/099062323172035771/pdf/P18033407dcbb0020b31a09d00ed0953c9.pdf'"", ""'Project Appraisal Document': 'http://documents.worldbank.org/curated/en/099060523172580537/pdf/BOSIB04017334d0fd08f380a2d36bab1e89.pdf'"", ""'Minutes': 'http://documents.worldbank.org/curated/en/099080323103035349/pdf/BOSIB09dd688c90e20bca90d8559b5db98a.pdf'"", ""'Implementation Status and Results Report': 'http://documents.worldbank.org/curated/en/099122223111538670/pdf/P180334173179705b1a70f15543793187be.pdf'""]","['Other Agriculture, Fishing and Forestry', 'Public Administration - Agriculture, Fishing & Forestry', 'Agricultural Extension, Research, and Other Support Activities', 'Agricultural markets, commercialization and agri-business']","['2023', '2024', '2025', '2026', '2027', '2028']","['Salim Rouhana', 'Armine Juergenliemk', 'Zeina El Khoury']"
P180334,Improving Agri-food Export Promotion,Lebanon: Green Agri-food transformation for economic recovery (GATE),"This use case example focuses on boosting agri-food sector export performance through strategic marketing and international trade facilitation. Given the potential of the agri-food sector as a driver of economic growth, the project implemented measures to enhance export capabilities and market access. By co-financing trade missions, facilitating participation in international fairs, and providing technical assistance on export processes and requirements, the initiative sought to better position producers in the global marketplace. In addition to practical support for exporters, efforts to upgrade digital platforms for trade information dissemination underscored the role of technology in modern trade facilitation. This method underscored the importance of equipping producers with the knowledge and resources to navigate complex international trade environments successfully. It illustrates the effectiveness of targeted support and capacity-building in empowering the agricultural sector to reach new markets and contribute more significantly to economic recovery and development.",Council for Development and Reconstruction,Middle East and North Africa,Lebanon,"[""'Environmental and Social Review Summary': 'http://documents.worldbank.org/curated/en/099050223181526870/pdf/P1803340a4950705e0ac9a002fef8e2c14c.pdf'"", ""'Environmental and Social Commitment Plan': 'http://documents.worldbank.org/curated/en/099060123140015298/pdf/P1803340cb4de5070a8600f5c4e2e6d4f6.pdf'"", ""'Project Information Document': 'http://documents.worldbank.org/curated/en/099062323172035771/pdf/P18033407dcbb0020b31a09d00ed0953c9.pdf'"", ""'Project Appraisal Document': 'http://documents.worldbank.org/curated/en/099060523172580537/pdf/BOSIB04017334d0fd08f380a2d36bab1e89.pdf'"", ""'Minutes': 'http://documents.worldbank.org/curated/en/099080323103035349/pdf/BOSIB09dd688c90e20bca90d8559b5db98a.pdf'"", ""'Implementation Status and Results Report': 'http://documents.worldbank.org/curated/en/099122223111538670/pdf/P180334173179705b1a70f15543793187be.pdf'""]","['Other Agriculture, Fishing and Forestry', 'Public Administration - Agriculture, Fishing & Forestry', 'Agricultural Extension, Research, and Other Support Activities', 'Agricultural markets, commercialization and agri-business']","['2023', '2024', '2025', '2026', '2027', '2028']","['Salim Rouhana', 'Armine Juergenliemk', 'Zeina El Khoury']"
P179311,Emergency Water Supply Provision,Water Emergency Relief Project,"This use case example demonstrates the effective provision of emergency water supply to identified rural areas. In the context of a project aimed at improving access to critical water services in Afghanistan, the team placed a significant emphasis on securing an emergency water supply for vulnerable populations. By carefully identifying areas most in need due to the ongoing crisis, the team could prioritize efforts where the impact would be most substantial. The implementation involved a multi-faceted approach that included assessing local water resources, deploying mobile water purification systems, and establishing temporary water distribution points. The ultimate goal was to ensure that communities with the most pressing needs received immediate support, showcasing how targeted interventions can address urgent water scarcity challenges.","Aga Khan Foundation USA, The United Nations Office for Project Services",South Asia,Afghanistan,"[""'Environmental and Social Review Summary': 'http://documents.worldbank.org/curated/en/099060423102525260/pdf/P17931103460f502e0863d0abf150a47ce4.pdf'"", ""'Stakeholder Engagement Plan': 'http://documents.worldbank.org/curated/en/099060423102542531/pdf/P1793110771f510c0b2180e456b836d5f6.pdf'"", ""'Project Information Document': 'http://documents.worldbank.org/curated/en/099060523132016634/pdf/P1793110b674880f0a56407f277b4cc044.pdf'"", ""'Environmental and Social Commitment Plan': 'http://documents.worldbank.org/curated/en/099062223171047417/pdf/P17931100552fe030918a0e307777e3d1d.pdf'"", ""'Project Appraisal Document': 'http://documents.worldbank.org/curated/en/099062823221588940/pdf/P17931108c0c51050a3e5037876f00a362.pdf'"", ""'Implementation Status and Results Report': 'http://documents.worldbank.org/curated/en/099011124213582555/pdf/P17931117505ef0cf18bae159b7db242087.pdf'"", ""'Procurement Plan': 'http://documents.worldbank.org/curated/en/099112223095042764/pdf/P1793110a5b07d0390968b03b23acb1a85d.pdf'""]","['Public Administration - Water, Sanitation and Waste Management', 'Water Supply', 'Sanitation', 'Other Water Supply, Sanitation and Waste Management', 'Irrigation and Drainage']","['2023', '2024', '2025']","['Zhimin Mao', 'Abdul Hamid Quraishi']"
P179311,Solar-Powered Irrigation Enhancement,Water Emergency Relief Project,"This use case example outlines the enhancement of surface water irrigation in selected rural areas using solar technologies. Within the broader aim to improve water access in Afghanistan, the project team focused on leveraging solar technologies to enhance irrigation systems, thereby supporting agricultural productivity. The context was challenging, necessitating inventive approaches to address water scarcity and reliance on inefficient, traditional irrigation methods. By introducing solar-powered pumps and developing community-operated irrigation schemes, the project significantly reduced water loss, increased agricultural yields, and fostered local engagement in sustainable water management. The success of this initiative demonstrates the viability of solar technologies in transforming irrigation practices in resource-constrained environments, offering a sustainable path toward improved water security and agricultural resilience.","Aga Khan Foundation USA, The United Nations Office for Project Services",South Asia,Afghanistan,"[""'Environmental and Social Review Summary': 'http://documents.worldbank.org/curated/en/099060423102525260/pdf/P17931103460f502e0863d0abf150a47ce4.pdf'"", ""'Stakeholder Engagement Plan': 'http://documents.worldbank.org/curated/en/099060423102542531/pdf/P1793110771f510c0b2180e456b836d5f6.pdf'"", ""'Project Information Document': 'http://documents.worldbank.org/curated/en/099060523132016634/pdf/P1793110b674880f0a56407f277b4cc044.pdf'"", ""'Environmental and Social Commitment Plan': 'http://documents.worldbank.org/curated/en/099062223171047417/pdf/P17931100552fe030918a0e307777e3d1d.pdf'"", ""'Project Appraisal Document': 'http://documents.worldbank.org/curated/en/099062823221588940/pdf/P17931108c0c51050a3e5037876f00a362.pdf'"", ""'Implementation Status and Results Report': 'http://documents.worldbank.org/curated/en/099011124213582555/pdf/P17931117505ef0cf18bae159b7db242087.pdf'"", ""'Procurement Plan': 'http://documents.worldbank.org/curated/en/099112223095042764/pdf/P1793110a5b07d0390968b03b23acb1a85d.pdf'""]","['Public Administration - Water, Sanitation and Waste Management', 'Water Supply', 'Sanitation', 'Other Water Supply, Sanitation and Waste Management', 'Irrigation and Drainage']","['2023', '2024', '2025']","['Zhimin Mao', 'Abdul Hamid Quraishi']"
